index,str,advance_to,speaking,emote_change_to,story_flag,scene_end,move_to,location,notes, COMMENTS / FEEDBACK
-1,Click or space to advance,0,you,,,,,,,
0,"The house should be just around the corner. Mother always said I had a connection with the other world. I've tried many careers in my young life and while I have made a great chef, beautician, EA and telemarketer, none of them ever connected to me. ",1,you,,Intro_sequence,,,front_door,,
1,"I've always had an intuition and knew things before they happened, its what made me good at a lot of other jobs. I fell into my first case by accident, my last job at a vintage furniture shop meant I always saw sad people walk into the shop. I just didn't realise no one else could.",2,you,,Intro_sequence,,,front_door,,
2,"A few weeks ago a customer went to buy a tea set, I said the older lady looked like she also wanted it. No one else could see her. Thats when I realised. I had a chat with the older lady and she just wanted the set to go to someone who would love it like she had. I helped her move on.",3,you,,Intro_sequence,,,front_door,,
3,Today will be a good day. ,4,you,,Intro_sequence,,,front_door,,
4,"I started chatting with a customer who was buying furniture to stage a house and she said that the house she was selling was a challenge as everyone thought it was haunted. I said I would come give it a look, help release any spirits who might be trapped there.",5,you,,Intro_sequence,,,front_door,,
5,She gave me a floor map of the house as some of the rooms still have wet paint and she's asked me not to go into them.,6,you,,first_open_map,,floor_map,floor_map,,
6,"I did a little bit of research, I mean I googled the street address and saw nothing unsusal about the house, a few people have died in the there but it wasn't news articles about grisly murders.",7,you,,first_open_map,,,floor_map,,could split the first bit off on its own for comedic effect
7,Door opens and you enter the house,8,no_one,,,TRUE,hall,,,
8,Enter Lounge,9,no_one,,enter_lounge_first,,,lounge,After first entrance narrative starts at ,
9,Nice Lounge. This room has so much potential.,10,you,,enter_lounge_first,,,lounge,,
10,I can hear a tune coming from somewhere . . . is the radio on?,11,you,,enter_lounge_first,TRUE,,lounge,,
11,Click on piano,,no_one,,old_man_appears,,,lounge,old_man appears,
12,What are you doing in my house! I don't remember making a booking. Are you here for a lesson?,13,old_man,,old_man_appears,,,lounge,,
13,"Hey! Hi, no I'm not here for a lesson.",14,you,,old_man_appears,,,lounge,,
14,"Oh, sorry, I . . . I was lost in thought. I forgot everything but this damn tune.",15,old_man,,old_man_appears,,,lounge,,
15,You forgot everything. Do you know where you are?,16,you,,old_man_appears,,,lounge,,
16,Yes ... I remember now. It may be the only thing that I do rember. Have you met the others?,17,old_man,,old_man_appears,,,lounge,,
17,Others?,18,you,,old_man_appears,,,lounge,,
18,"Yes, the others in the house. I don't know that you'll find everyone, some people have trust issues. But that is not my problem. I may be old and dead but want to trust.",19,old_man,,old_man_appears,,,lounge,,ace: some people have trust issue <you know> play up the old manness of him. ?want to trust?
19,Can I trust you?,20,old_man,,old_man_appears,,,lounge,,
20,"Yes. I am here to help you. I don't think you should be staying in this house, as nice as it is. I would like to help you.",21,you,,old_man_appears,,,lounge,,
